Код;Товар;Группа;Штук за 24 мес;Нет литража в названии;Нет коробкоместа (fBASEUNITQUANTITY)
068/1;Ապակի լվանալու հեղուկ  (Ֆրոշ) 500 մլ;;2;;ДА
398;Քաղցր ձողիկներ կիտրոնի 80գ;040;2;ДА;ДА
405;Ավել Գոգաթիակ բարձր հետնամասով;041;2;ДА;ДА
020;Սև թեյ  ծրարիկով/ Tess Eari Grey;034;2;ДА;ДА
198;Ստեպլեր լիբրա N24/6-45 M;035;2;ДА;ДА
447;Հատակ մաքրող հեղուկ Հոռեկա 5 լիտր;043;2;;ДА
458;Սպասք լվանալու հեղուկ Խնձոր Ջին 5 լիտր;043;2;;ДА
16198;Սուրճ հատիկավոր Passione Coffee Mix;;2;ДА;ДА
027/3;Թուղթ A3 ֆորմատ 80գ SNEGUROCHKA  500թ;035;2;ДА;ДА
460;K172 Լվացման մեծ սպունգ 72.8*50.8*41.8;043;2;ДА;ДА
467;Ժավել Հրաշք Փայլ 5 լիտր;043;2;;ДА
010;Կանաչ թեյ բրգաձև ծրարիկով/ Tess Giger Mojito;034;2;ДА;ДА
034; Boochino Cappycchino Caramel/ Լուծվող սուրճ 10հատ;21;2;ДА;ДА
3202;Դեղձի ջեմ 440գր;30;2;ДА;ДА
143;Էջանիշ կպչուն officeSpace 50*12մմ 4գ;035;2;ДА;ДА
064/1;Հեղուկ օճառ սպիտակ/ Հոռեկա  5լ;26;2;;ДА
210;Nescafe late N20;23;2;ДА;ДА
249;Հաշվիչ CDB1401-BK Eleven 14 նիշ CDB 1401-BK;035;2;ДА;ДА
3205;Կեռասի մուրաբա 440գր;30;2;ДА;ДА
064;Հեղուկ օճառ ծովային/ Հոռեկա  5լ;26;2;;ДА
3501;Դեղձի մուրաբա 480գր;30;2;ДА;ДА
039;Royal Armenia/Դեղձի սառը թեյ 20 հատ;21;2;ДА;ДА
426;Լոխում գետնանուշով 225 գր;040;2;ДА;ДА
1130;Հեղուկ օճառ Նովտեքս 500մլ;041;2;;ДА
162;Բլոկնոտ գրիչով A5 կաշվե;035;2;ДА;ДА
130;Սոսինձ չոր Office 21գր;035;2;ДА;ДА
062/1;Հեղուկ օճառ ելակ/ Միստր Ջին  5լ;26;2;;ДА
174;Նշումի թուղթ OfficeSpace 75*75մմ 400թ. 54125 1x144 314717;035;2;ДА;ДА
163;Բլոկնոտ A5 կաշվե/Concise;035;1;ДА;ДА
072;Ձեռնոց մեկանգամյան օգտագործման SNH-Վինիլ L/100հատ;26;1;ДА;ДА
096;Soft Papyrus Facial tissues/ երկշերտ անձեռոցիկ 150 թերթ;28;1;ДА;ДА
156;Դակիչ փոքր Libra N 10;035;1;ДА;ДА
072/1;Ձեռնոց մեկանգամյան օգտագործման SNH-Վինիլ M100հատ;26;1;ДА;ДА
252;Սկոչ Dolphin 19mm 36y(192);035;1;ДА;ДА
324;ԼԵԴլույս 105w քառակուսի պանել 6500k;033;1;ДА;ДА
300;Լեդ լույս 12w կլոր պանել 4000K;033;1;ДА;ДА
063/1;Հեղուկ օճառ սպիտակ/ Հրաշք  5լ;26;1;;ДА
124;Կնոպկա մեխ գունավոր/50հատ;035;1;ДА;ДА
306;Լեդ լույս 24w քառակուսի պանել 4000K;033;1;ДА;ДА
248;Հաշվիչ KENKO KK- 8875-12;035;1;ДА;ДА
323;ԼԵԴլույս 105w քառակուսի պանել 4000k;033;1;ДА;ДА
049;Nescafe Classic Arabika 320գր;23;1;ДА;ДА
141;Սկոտչ մեծ 4.5մմ*30;035;1;ДА;ДА
063/7;Հեղուկ օճառ լիմոն/հրաշք 5լ;26;1;;ДА
459;Սպասք լվանալու հեղուկ Նարինջ Ջին 5 լիտր;043;1;;ДА
166/4;Սուրճ L.Oro 500գ. հատիկավոր;;1;ДА;ДА
063/6;Հեղուկ օճառ խնձոր/հրաշք 5լ;26;1;;ДА
486;Segafredo Կապսուլաին սուրճ Supremo, 100% Arabica (10 պատիճ);;1;ДА;ДА
492;Segafredo Հատիկավոր սուրճ Intermezzo 0,5կգ;;1;ДА;ДА
498;Ալյուր ՈՍԿԵ ՀԱՍԿ 1կգ;;1;ДА;ДА
508;Բրինձ Թաիլանդական ՈՍԿԵ ՀԱՍԿ 800 գր;;1;ДА;ДА
430;"Կրեկեր քաղցր ""Կենդանիների աշխարհում"" 250գ.";040;1;ДА;ДА
431;Կրեկեր քառակուսի 250գ;040;1;ДА;ДА
16982;Ավել գոգաթիակ սանրով 25սմ;;1;ДА;ДА
153;Բլոկնոտ Fis/Libra A4 կապույտ տողանի;035;1;ДА;ДА
319;ԼԵԴ լուսատու 36w առաստաղի 60*60;033;1;ДА;ДА
063/8;Հեղուկ օճառ հրաշք 5լ ելակ;;1;;ДА
056;Frosch  Ապակի մաքրող միջոց 500մլ;25;1;;ДА
071;Բախիլ մեկանգամյա օգտագործման կապույտ/100հատ;26;1;ДА;ДА
062;Հեղուկ օճառ լիմոն Միստր Ջին 5լ;26;1;;ДА
062/2;Հեղուկ օճառ խնձոր/ Միստր Ջին  5լ;26;1;;ДА
437;Կրեկեր Հացիկ քունջութով և կտավատով 100գ;040;1;ДА;ДА
438;Կրեկեր Հացիկ սոխով և թթվասերով 100գ;040;1;ДА;ДА
504;Սպագետտի ՈՍԿԵ ՀԱՍԿ 800 գր;;1;ДА;ДА
487;Segafredo  Կապսուլաին սուրճ Classico (10 պատիճ);;1;ДА;ДА
511;Ոսպ ՈՍԿԵ ՀԱՍԿ 800 գր;;1;ДА;ДА
16368;Սանհանգույց մաքրող միջոց Domestos Ultra White 1000 մլ;;1;;ДА
16568;Դանակ գրասենյակ 18մմ-1;;1;ДА;
16975;Դույլ-քամիչ 15լ;;1;;ДА
502;Կերակրի Սոդա ՈՍԿԵ ՀԱՍԿ 500 գր;;1;ДА;ДА
505;Մակարոնեղեն ՈՍԿԵ ՀԱՍԿ 800 գր;;1;ДА;ДА
512;Հնդկաձավար ՈՍԿԵ ՀԱՍԿ 800 գր;;1;ДА;ДА
419;Արևելյան քաղցրավենիք կիտրոնի համով LORAN 150 գ;040;1;ДА;ДА
421;Թխվածքաբլիթ Մանկիկ 105 գ կարագով;040;1;ДА;ДА
456;Սպասք լվանալու հեղուկ Խնձոր Հրաշք Փայլ 5 լիտր;043;1;;ДА
473;Տոմատի մածուկ TOP SUN 500 գ․;;1;ДА;ДА
412;Թխվածքաբլիթ չամիչով 500 գ;040;1;ДА;ДА
115/2;Թուղթ A4 a1 one 80 գրամ;035;1;ДА;ДА
058/4;Սպասքլվ.հեղուկ լիմոն ջին 5լ;26;1;;ДА
403;Աղի ձողիկ 200գ;040;1;ДА;ДА
423;Թխվածքաբլիթ Արեգակ 140 գ;040;1;ДА;ДА
449;Սպասք լվանալու հեղուկ լիմոն Հրաշք Փայլ 5 լիտր;043;1;;ДА
457;Սպասք լվանալու հեղուկ Խնձոր Պրիմա 5 լիտր;043;1;;ДА
483;Պահածոյացված շամպինիոն թ/տ ամբողջական TOP SUN 850 գ․;;1;ДА;ДА
491;Segafredo Հատիկավոր սուրճ Espresso Casa 0,5կգ;;1;ДА;ДА
