Код;Товар;Группа;Штук за 24 мес;Нет литража в названии;Нет коробкоместа (fBASEUNITQUANTITY)
002;Սև թեյ ծրարիկով/  Golden Ceylon;034;127;ДА;ДА
009;Կանաչ թեյ ծրարիկով/Green Melissa;034;123;ДА;ДА
3904;Վարունգ մարինացված 700գր;30;119;ДА;ДА
5206;Մոշի կոմպոտ 1000գր;30;116;ДА;ДА
001;Սև թեյ ծրարիկով/ Classic Breakfast;034;115;ДА;ДА
212;Nescafe mild 3in1 N20;23;107;ДА;ДА
158;Դակիչ ասեղ kangaro N10;035;105;ДА;ДА
3907;Բանջարեղենային խորոված 700գր;30;102;ДА;ДА
159;Դակիչ ասեղ kangaro N24/6;035;100;ДА;ДА
006;Բուսական թեյ ծրարիկով/Summer Bouquet;034;97;ДА;ДА
3401;Թզի մուրաբա 470գր;30;94;ДА;ДА
084;Եռաշերտ զուգարանի թուղթ/12 հատ Silk soft;27;88;ДА;ДА
003;Սև թեյ ծրարիկով/Eari Grey Fantasy;034;87;ДА;ДА
461;K218 Սպասք լվանալու սպունգ պաշտպանիչ քերիչով 72.8*50.8*41.8;043;79;ДА;ДА
083;Եռաշերտ խոհանոցային թղթե սրբիչ /2 հատ SilkSoft պռեմիւմ;27;78;ДА;ДА
004;Սև թեյ ծրարիկով/Christmas Mystety;034;77;ДА;ДА
137;Գրիչ Gigisspectrum 0.7mm;035;77;ДА;ДА
382;ԼԵԴ լամպ 7 w 4000K;;73;ДА;ДА
177; ֆայլ /50 միկռոն;035;73;ДА;ДА
3310;Տոմատի հյութ;30;73;ДА;ДА
202;Փրփուր օճառ   NOVITEX 500ML;041;72;ДА;ДА
3102;Սմբուկի խավիար 370գր;30;66;ДА;
181/1;Հատակ մաքրող շոր /50*100/ սպիտակ;;66;ДА;ДА
383;ԼԵԴ լամպ 7 w 6500K;;63;ДА;ДА
389;Հդմ թուղթ թերմո 57 մմ x 15 մետր;;60;ДА;ДА
3403;Սմբուկի խավիար 470գր;30;58;ДА;
090;Ապակու և հայելու համար թավշյա միկրոֆիբրե լաթ/30*30սմ Silk soft;27;58;ДА;ДА
041;Փարիզյան սուրճ N 5/ Աղացած սուրճ 250 գր;22;56;ДА;ДА
097;Soft Papyrus Facial tissues/ երկշերտ անձեռոցիկ 220 թերթ;28;56;ДА;ДА
328/3;Թղթապանակ Ռեգիստր A4 գունավոր;035;53;ДА;ДА
7002;Բաժակակալ դիսպենսերի;;53;ДА;ДА
313/1;ԼԵԴ լամպ 10w մոմ 6500K մոմաձև/բարակ;033;52;ДА;ДА
098;Soft Papyrus Facial tissues/ եռաշերտ անձեռոցիկ 110 թերթ;28;51;ДА;ДА
188/1;ԼԵԴ լամպ 10w մոմ 4000K մոմաձև/ բարակ;033;50;ДА;ДА
115/4;Թուղթ A4 CopiMax;035;48;ДА;ДА
3204;Ծիրանի մուրաբա 440գր;30;48;ДА;ДА
200;Զուգարանի թուղթ Soft Papyrus առանց գլանակ;27;48;ДА;ДА
3103;Սմբուկի խավիար կծու 470գր;30;48;ДА;ДА
131;Գրիչ Cello Finegrip;035;47;ДА;ДА
4002/1;Ապակե շիշ նոր/կոլա;;45;ДА;ДА
027;Royal Armenia Brasilla / կանաչ աղացած սուրճ;21;43;ДА;ДА
1127;Սանհանգույց մաքրող ունիվերսալ Նովտեքս 4լ;041;40;;ДА
1128/1;Սպիտակեցնող միջոց NOVITEX (ժավել) 1լ;041;40;;ДА
3900;Խաղողի տերև 720մլ;30;38;;ДА
1129;Ապակի լվալու հեղուկ Նովտեքս 500մլ;041;37;;ДА
208;Nescafe cappuccino N18;23;37;ДА;ДА
4051;Պոլիէթիլենային արկղ;;36;ДА;ДА
3908;Լեչո կտրտած պղպեղ տոմատ սոուսում 700գր;30;36;ДА;ДА
183;Սպասք լվանալու սպունգ (jahir)/սպիրալով;25;34;ДА;ДА
040;Փարիզյան սուրճ N 5/ Աղացած սուրճ 100գր;22;34;ДА;ДА
088;Ունիվերսալ նախշերով միկրոֆիբրե լաթ /30*30 սմ Silk Soft;27;34;ДА;ДА
074/5;Ձեռնոց սինթեթիկ  կապույտ/M;;33;ДА;ДА
385;Հատակ մաքրող հեղուկ ջին/750մլ;;33;;ДА
433;Վաֆլի կիտրոնի համով  300 գր;040;32;ДА;ДА
024;Royal Armenia Classic /Աղացած սուրճ;21;31;ДА;ДА
116/1;Մարկեր գրատախտակի OfficeSpace սև 2,5mm WBM;035;30;ДА;ДА
1128;Ժավել Նովտեքս 4լ;041;29;;ДА
063/4;Հեղուկ օճառ ծովային/հրաշք  300մլ;26;29;;ДА
074/4;Ձեռնոց սինթեթիկ  կապույտ/L;;28;ДА;ДА
